specie_lat,specie_it,Valori,IUCN
"Certhia brachydactyla Brehm, 1820",Rampichino,2,None
"Certhia familiaris Linnaeus, 1758",Rampichino alpestre,2,None
"Rana dalmatina Bonaparte, 1840",Rana agile,2,None
"Rana italica Dubois, 1987",Rana appenninica,3,None
"Rana arvalis Nilsson, 1758",Rana arvale,2,None
"Rana latastei Boulenger, 1879",Rana di Lataste,4,"A minor rischio, Quasi a rischio"
"Rana lessonae Camerano, 1882 ",Rana di Lessona,2,None
"Rana perezi Seoane, 1885",Rana di Perez,2,None
"Rana ridibunda Pallas, 1771",Rana ridibonda,2,None
"Rana temporaria Linnaeus, 1758",Rana temporaria,2,None
"Rana catesbeiana Saw, 1802",Rana toro,2,None
"Raja alba Lacépède, 1803",Razza bianca,1,None
"Somateria spectabilis (Linnaeus, 1758)",Re degli edredoni,3,None
"Crex crex (Linnaeus, 1758)",Re di quaglie,4,Vulnerabile
"Regulus regulus Linnaeus, 1758",Regolo,2,None
"Erinaceus europaeus Linnaeus, 1758",Riccio,2,None
"Erinaceus concolor Martin, 1838",Riccio,1,None
"Centrostephanus longispinus (Philippi, 1845)",Riccio di mare,2,None
"Paracentrotus lividus (Lamarck, 1816)",Riccio di mare di roccia,1,None
"Oriolus oriolus Linnaeus, 1758",Rigogolo,2,None
"Rhodeus sericeus (Pallas, 1776)",Rodeo amaro,2,None
"Hirundo rustica Linnaeus, 1758",Rondine,2,None
"Ptyonoprogne rupestris (Scopoli, 1769)",Rondine montana,2,None
"Hirundo daurica Linnaeus, 1771",Rondine rossiccia,2,None
"Apus apus (Linnaeus, 1758)",Rondone,2,None
"Apus affinis (Gray G.E., 1830)",Rondone indiano,2,None
"Apus melba (Linnaeus, 1758)",Rondone maggiore,2,None
"Apus pallidus (Shelley, 1870)",Rondone pallido,2,None
"Bufo bufo (Linnaeus, 1758)",Rospo comune,1,None
"Bufo viridis  Laurenti, 1768",Rospo smeraldino,2,None
"Rutilus rubilio (Bonaparte, 1837) ",Rovella,3,None
"Falco cherrug Gray, 1834",Sacro,4,None
"Elaphe longissima (Laurenti, 1768)",Saettone,2,None
"Saga pedo (Pallas, 1771)",Saga,2,Vulnerabile
"Salamandra atra Laurenti, 1768",Salamandra alpina,2,None
"Salamandra atra aurorae   * Trevisan, 1982",Salamandra alpina di Aurora,2,None
"Salamandra lanzai Nascetti, Capula & Bullini, 1988",Salamandra del Lanza,2,Vulnerabile
"Salamandra salamandra (Linnaeus, 1758)",Salamandra pezzata,1,None
"Salamandrina terdigitata (Lacépède, 1788)",Salamandrina dagli occhiali,3,None
"Locustella luscinioides (Savi, 1824)",Salciaiola,2,None
"Saxicola torquata Linnaeus, 1758",Saltimpalo,2,None
"Hirudo medicinalis (Linnaeus, 1758)",Sanguisuga,2,"A minor rischio, Quasi a rischio"
"Chondrostoma soetta Bonaparte, 1840",Savetta,3,None
"Cottus gobio Linnaeus, 1758 ",Scazzone,1,None
"Porzana parva (Scopoli, 1769)",Schiribilla,3,None
"Porzana pusilla (Pallas, 1776)",Schiribilla grigiata,3,None
"Canis aureus Linnaeus, 1758 ",Sciacallo,2,None
"Sciurus vulgaris Linnaeus, 1758",Scoiattolo,2,Quasi a rischio
"Sciurus carolinensis Gmelin, 1788",Scoiattolo grigio,1,None
"Troglodytes troglodytes (Linnaeus, 1758)",Scricciolo,2,None
"Vespertilio murinus Linnaeus, 1758",Serotino bicolore,4,None
"Eptesicus serotinus (Schreber, 1774)",Serotino comune,4,None
"Eptesicus nilssoni (Keyserling & Blasius, 1839) ",Serotino di Nilsson,4,None
"Telescopus fallax (Fleischmann, 1831)",Serpente gatto europeo,2,None
"Ardeola ralloides (Scopoli, 1769)",Sgarza ciuffetto,3,None
"Silurus glanis  Linnaeus, 1758 ",Siluro,1,None
"Sylvia rueppellii Temminck, 1820",Silvia del Ruppel,3,None
"Syrrhaptes paradoxus (Pallas, 1773)",Sirratte,2,None
"Mergus merganser Linnaeus, 1758",Smergo maggiore,4,None
"Mergus serrator Linnaeus, 1758",Smergo minore,4,None
"Falco columbarius  Linnaeus, 1758",Smeriglio,5,None
"Lamna nasus (Bonnaterre,1788)",Smeriglio,1,"A minor rischio, Quasi a rischio"
"Prunella collaris (Scopoli, 1769)",Sordone,2,None
"Accipiter nisus (Linnaeus, 1758)",Sparviere,4,None
"Accipiter brevipes (Severtzov, 1850)",Sparviere levantino,5,None
"Platalea leucorodia Linnaeus, 1758",Spatola,5,None
"Anthus spinoletta  Linnaeus, 1758",Spioncello,2,None
"Anthus rubescens Tunstall, 1771",Spioncello americano,2,None
"Spongia zimocca Schmidt, 1862",Spugna,1,None
"Spongia officinalis (Linnaeus, 1759)",Spugna da bagno,1,None
"Spongia agaricina Pallas, 1766",Spugna elefante,1,None
"Hippospongia communis (Lamarck, 1813)",Spugna equina,1,None
"Squatina squatina (Linnaeus, 1758)",Squadro,1,Vulnerabile
"Carcharodon carcharis (Linnaeus, 1758)",Squalo bianco,1,Vulnerabile
"Cetorhinus maximus (Gunnerus, 1765)",Squalo elefante,1,Vulnerabile
"Isurus oxyrinchus Rafinesque, 1810",Squalo mako,1,"A minor rischio, Quasi a rischio"
"Capra ibex Linnaeus, 1758  ",Stambecco,2,None
"Perdix perdix (Linnaeus, 1758)",Starna,3,None
Perdix perdix italica,Starna ss. italiana,1,None
"Stenella coeruleoalba (Meyen, 1833)",Stenella striata,4,"A minor rischio, Dipendenti dalla protezione"
"Steno bredanensis (Lesson, 1828)",Steno,4,Dati insufficienti
"Stercorarius skua (Brünnich, 1764) ",Stercorario maggiore,2,None
"Stercorarius pomarinus (Temminck, 1815)  ",Stercorario mezzano,2,None
"Sterna caspia Pallas, 1770",Sterna  maggiore,3,None
"Sterna paradisaea Pontoppidan, 1763",Sterna codalunga,3,None
"Sterna hirundo Linnaeus, 1758",Sterna comune,3,None
"Sterna dougallii Montagu, 1813",Sterna del Dougall,3,None
"Sterna bengalensis Lesson, 1831",Sterna del Ruppel,2,None
"Sterna fuscata Linnaeus, 1766",Sterna scura,2,None
"Gelochelidon nilotica (Gmelin, 1789)",Sterna zampenere,3,None
"Sylvia communis Latham, 1787",Sterpazzola,2,None
"Sylvia conspicillata Temminck, 1820",Sterpazzola di Sardegna,2,None
"Sylvia nana (Hemprich & Ehrenberg, 1833)",Sterpazzola nana,2,None
"Sylvia cantillans Pallas, 1784",Sterpazzolina,2,None
"Saxicola rubetra Linnaeus, 1758",Stiaccino,2,None
"Acipenser sturio   * Linnaeus,1758",Storione,5,Gravemente minacciato
"Acipenser transmontanus Richardson, 1836",Storione bianco,2,None
"Acipenser naccarii   * Bonaparte,1836",Storione cobice,6,Vulnerabile
"Huso huso (Linnaeus, 1758)",Storione ladano,3,Minacciato
"Sturnus vulgaris Linnaeus, 1758",Storno,1,None
"Sturnus unicolor Temminck, 1820  ",Storno nero,3,None
"Sturnus roseus (Linnaeus, 1758) ",Storno roseo,2,None
"Miliaria calandra (Linnaeus, 1758) ",Strillozzo,2,None
"Gavia adamsii (Gray, 1859) ",Strolaga becco giallo,2,None
"Gavia immer (Brünnich, 1764)",Strolaga maggiore,3,None
"Gavia arctica (Linnaeus, 1758)",Strolaga mezzana,3,None
"Gavia stellata (Pontoppidan, 1763)",Strolaga minore,3,None
"Caprimulgus europaeus Linnaeus, 1758",Succiacapre,3,None
"Caprimulgus ruficollis Temminck, 1820",Succiacapre collorosso,2,None
"Caprimulgus aegyptius Lichtenstein, 1823",Succiacapre isabellino,2,None
"Sula bassana (Linnaeus, 1758)",Sula,2,None
"Podiceps grisegena (Boddaert, 1783)",Svasso collorosso,2,None
"Podiceps auritus (Linnaeus, 1758)",Svasso cornuto,3,None
"Podiceps cristatus (Linnaeus, 1758)",Svasso maggiore,2,None
"Podiceps nigricollis (Brehm C.L., 1831)",Svasso piccolo,2,None
"Corvus monedula  Linnaeus, 1758",Taccola,1,None
"Ixobrychus minutus (Linnaeus, 1766)",Tarabusino,3,None
"Ixobrychus eurhythmus (Swinhoe, 1873)",Tarabusino orientale,2,None
"Botaurus stellaris (Linnaeus, 1758)",Tarabuso,3,None
"Tarentola mauritanica (Linnaeus, 1758) ",Tarantola muraiola,1,None
"Euleptes europaea (Gené, 1838)",Tarantolino,3,Vulnerabile
"Phyllodactylus europaeus Gené, 1830",Tarantolino,3,Vulnerabile
"Eretmochelys imbricata (Linnaeus, 1766)",Tartaruga  embricata,4,Gravemente minacciato
"Lepidochelys kempii (Garman, 1880)",Tartaruga bastarda,4,Gravemente minacciato
"Caretta caretta   * (Linnaeus, 1758)",Tartaruga caretta,5,Minacciato
"Dermochelys coriacea (Vandelli, 1761)",Tartaruga liuto,4,Gravemente minacciato
"Chelonia mydas (Linnaeus, 1758) ",Tartaruga verde,4,Minacciato
"Meles meles (Linnaeus, 1758)  ",Tasso,2,None
"Thymallus thymallus  (Linnaeus, 1758)",Temolo,2,None
"Testudo hermanni Gmelin, 1789",Testuggine comune,4,"A minor rischio, Quasi a rischio"
"Emys orbicularis (Linnaeus, 1758)",Testuggine d'acqua,3,"A minor rischio, Quasi a rischio"
"Trachemys (=Pseudemys) scripta Agassiz, 1857",Testuggine dalle guance rosse,1,None
"Testudo graeca Linnaeus, 1758",Testuggine greca,4,Vulnerabile
"Testudo marginata Schoepff, 1792",Testuggine marginata,4,None
"Riparia riparia (Linnaeus, 1758)",Topino,2,None
"Sorex alpinus Schinz, 1837",Toporagno alpino,2,None
"Sorex samniticus Altobello, 1926",Toporagno appenninico,3,None
"Sorex araneus  Linnaeus, 1758",Toporagno comune,2,None
"Neomys fodiens (Pennant, 1771)",Toporagno d'acqua,2,None
"Neomys anomalus Cabrera, 1907",Toporagno d'acqua di Miller,2,None
"Sorex minutus  Linnaeus, 1766",Toporagno nano,2,None
"Jynx torquilla Linnaeus, 1758",Torcicollo,2,None
"Turdus viscivorus Linnaeus, 1758",Tordela,3,None
"Turdus philomelos Brehm, 1831",Tordo bottaccio,2,None
"Catharus minimus (Lafresnaye, 1848)",Tordo di Baird,2,None
"Catharus ustulatus Nuttall, 1840",Tordo di Swainson,2,None
"Zoothera dauma Latham, 1790",Tordo dorato,2,None
"Turdus ruficollis Pallas, 1776",Tordo golanera,2,None
"Turdus obscurus Gmelin, 1789",Tordo oscuro,2,None
"Turdus iliacus Linnaeus, 1758",Tordo sassello,2,None
"Zoothera sibirica Pallas, 1776",Tordo siberiano,2,None
"Sterptopelia turtur (Linnaeus, 1758)",Tortora,2,None
"Streptopelia decaocto (Frivaldszky, 1838)",Tortora dal collare orientale,3,None
"Streptopelia senegalensis Linnaeus, 1766",Tortora delle palme,2,None
"Streptopelia orientalis (Latham, 1790)",Tortora orientale,2,None
"Tringa erythropus (Pallas, 1746)",Totano moro,4,None
"Tringa flavipes (Gmelin, 1789)",Totano zampegialle minore,3,None
"Lullula arborea (Linnaeus, 1758)",Tottavilla,3,None
"Triturus alpestris (Laurenti, 1768)",Tritone alpino,1,None
"Triturus carnifex (Laurenti, 1768)",Tritone crestato italiano,3,None
"Triturus italicus (Peracca, 1898)",Tritone italiano,3,None
"Charonia tritonis (Linnaeus, 1758)",Tritone lucido,1,None
"Triturus vulgaris (Linnaeus, 1758)",Tritone punteggiato,2,None
"Bucanetes githagineus (Lichtenstein, 1823)",Trombettiere,3,None
"Salmo (trutta) macrostigma Duméril, 1858 ",Trota macrostigma,1,None
"Salmo (trutta) marmoratus (Cuvier, 1817)",Trota marmorata,2,Dati insufficienti
"Gibbula nivosa A.Adams, 1851",Trottola,1,None
"Tachybaptus ruficollis (Pallas, 1764)",Tuffetto,2,None
"Tursiops truncatus (Montagu, 1821)",Tursiope,5,Dati insufficienti
"Chlamydotis undulata (Jacquin, 1784)",Ubara,4,None
"Hydrobates pelagicus (Linnaeus, 1758)",Uccello delle tempeste,3,None
"Oceanodroma  leucorhoa (Vieillot, 1817)",Uccello delle tempeste codaforcuta,3,None
"Oceanites oceanicus (Kuhl, 1820)",Uccello delle tempeste di Wilson,2,None
"Bombina variegata (Linnaeus, 1758)",Ululone dal  ventre giallo,3,None
"Bombina pachypus (Bonaparte, 1838)",Ululone italiano,2,None
"Unio elongatus C.Pfeiffer, 1825",Unione,2,None
"Upupa epops Linnaeus, 1758",Upupa,2,None
"Luscinia megarhynchos  Brehm, 1831",Usignolo,2,None
"Cercotrichas galactotes (Temminck, 1820)",Usignolo d'Africa,2,None
"Cettia cetti (Temminck, 1820)",Usignolo di fiume,2,None
"Luscinia luscinia Linnaeus, 1758",Usignolo maggiore,2,None
"Leuciscus souffia Risso,1826",Vairone,2,None
"Serinus citrinella (Pallas, 1764)",Venturone,2,None
"Prionace glauca (Linnaeus, 1758)",Verdesca,1,None
"Carduelis  chloris (Linnaeus, 1758) ",Verdone,2,None
"Vertigo genesii (Gredler, 1856)",Vertigo a stoma tondo,1,None
"Vertigo moulinsiana (Dupuy, 1849)",Vertigo di Demoulins,1,"A minor rischio, Dipendenti dalla protezione"
"Vertigo geyeri Lindholm, 1925",Vertigo di Geyer,1,None
"Vertigo angustior Jeffrreys, 1830",Vertigo sinistrorso minore,1,"A minor rischio, Dipendenti dalla protezione"
"Serinus serinus (Linnaeus, 1766) ",Verzellino,2,None
"Myotis daubentoni (Leisler in Kuhl, 1819) ",Vespertilio di  Daubenton,4,None
"Myotis bechsteini (Leisler in Kuhl, 1818)",Vespertilio di Bechstein,5,Vulnerabile
"Myotis blythi (Tomes, 1857)",Vespertilio di Blyth,5,None
"Myotis brandti (Eversmann, 1845)",Vespertilio di Brandt,4,None
"Myotis capaccinii (Bonaparte, 1837)",Vespertilio di Capaccini,5,Vulnerabile
"Myotis nattereri (Kuhl, 1818)",Vespertilio di Natterer,4,None
"Myotis myotis (Borkhausen, 1797)",Vespertilio maggiore,5,"A minor rischio, Quasi a rischio"
"Myotis mystacinus (Kuhl, 1817)",Vespertilio mustacchino,4,None
"Myotis emarginatus (Geoffroy E., 1806)",Vespertilio smarginato,5,Vulnerabile
"Vipera aspis (Linnaeus, 1758) ",Vipera comune,1,None
"Vipera ammodytes (Linnaeus, 1758) ",Vipera dal corno,2,None
"Vipera ursinii (Bonaparte, 1835)",Vipera dell'Orsini,4,Minacciato
"Mustela vison Schreber, 1777",Visone americano,1,None
"Tadorna tadorna (Linnaeus, 1758)",Volpoca,3,None
"Arenaria interpres (Linnaeus, 1758)",Voltapietre,3,None
"Porzana porzana (Linnaeus, 1766)",Voltolino,3,None
"Larus fuscus Linnaeus, 1758",Zafferano,2,None
"Ziphius cavirostris Cuvier G., 1832",Zifio,4,Dati insufficienti
"Emberiza rustica Pallas, 1766",Zigolo boschereccio,2,None
"Emberiza melanocephala Scopoli, 1769",Zigolo capinero,2,None
"Emberiza aureola Pallas, 1766",Zigolo dal collare,2,None
"Plectrophenax nivalis (Linnaeus, 1758) ",Zigolo delle nevi,2,None
"Calcarius lapponicus (Linnaeus, 1758) ",Zigolo di Lapponia,2,None
"Emberiza citrinella  Linnaeus, 1758 ",Zigolo giallo,2,None
"Emberiza leucocephalos Gmelin, 1771",Zigolo golarossa,2,None
"Emberiza pusilla Pallas, 1766",Zigolo minore,2,None
"Emberiza cia Linnaeus, 1758 ",Zigolo muciatto,2,None
"Emberiza cioides Brandt, 1843",Zigolo muciatto orientale,2,None
"Emberiza cirlus  Linnaeus, 1758 ",Zigolo nero,2,None
"Emberiza bruniceps Brandt, 1843",Zigolo testa aranciata,2,None
"Stephanopachys substriatus (Paykull, 1800)",,3,None
"Buprestis splendens Fabricius, 1774",,3,None
"Carabus olympiae * Sella, 1855",,4,Vulnerabile
"Cerambyx cerdo (Linnaeus, 1758)",,3,Vulnerabile
"Morimus funereus (Mulsant, 1863)",,1,None
"Rosalia alpina   * (Linnaeus, 1758)",,3,Vulnerabile
"Osmoderma eremita   * (Scopoli, 1763)",,3,Vulnerabile
"Cucujus cinnaberinus (Scopoli, 1763)",,3,None
"Dytiscus latissimus (Linnaeus, 1758)",,3,Vulnerabile
"Graphoderus bilineatus (De Geer, 1774)",,3,Vulnerabile
"Lucanus cervus (Linnaeus, 1758)",,2,None
"Euplagia quadripunctaria   * (Poda, 1761)",,1,None
"Eriogaster catax (Linnaeus, 1758)",,3,Dati insufficienti
"Lycaena dispar (Haworth, 1803)",,3,"A minor rischio, Quasi a rischio"
"Maculinea arion (Linnaeus, 1758)  ",,1,"A minor rischio, Quasi a rischio"
"Maculinea teleius (Bergstrasser, 1779)",,3,"A minor rischio, Quasi a rischio"
"Maculinea teleius (Bergstrasser, 1799)",,3,"A minor rischio, Quasi a rischio"
"Argynnis elisa Godart, 1823",,3,None
"Euphydryas aurinia (Rottemburg,1775)",,2,None
"Papilio alexanor Esper, 1799",,2,None
"Papilio hospiton Géné, 1839",,5,Minacciato
"Parnassius apollo (Linnaeus, 1758) ",,3,Vulnerabile
"Parnassius mnemosyne (Linnaeus, 1758)  ",,2,None
"Zerynthia polyxena (Denis & Schiffermuller, 1775)",,2,None
"Coenonympha oedippus (Fabricius, 1787)",,3,"A minor rischio, Quasi a rischio"
"Erebia calcaria Lorkovic, 1949",,4,None
"Erebia christi Ratzer, 1890",,4,"A minor rischio, Quasi a rischio"
"Lasiommata achine (Scopoli, 1763)",,2,None
"Melanargia arge (Sulzer, 1776)",,3,None
"Hyles hippophaes (Esper, 1793)",,2,Dati insufficienti
"Prosperinus proserpinus (Pallas, 1772)",,2,Dati insufficienti
"Cordulegaster trinacriae Waterston, 1976",,4,None
"Oxygastra curtisii (Dale, 1834)",,3,Vulnerabile
"Gomphus flavipes (Charpentier, 1825) ",,2,None
"Lindenia tetraphylla (Van der Linden, 1825)",,3,None
"Ophiogomphus cecilia (Fourcroy, 1785)",,3,None
"Sympecma paedisca (Brauer, 1882)",,1,None
"Leucorrhinia pectoralis (Charpentier, 1825) ",,3,None
Hornera lichenoides,,1,None
Capreolus capreolus capreolus,,1,None
Capreolus capreolus italicus,,2,None
Felis silvestris lybica,,4,None
Felis silvestris silvestris,,4,None
Mustela nivalis boccamela,,2,None
Mustela nivalis minuta,,2,None
Mustela nivalis nivalis,,2,None
Myotis blythi oxygnathus,,5,None
Myotis blythi punicus,,5,None
Crocidura russula cossyrensis,,3,None
Crocidura russula ichnusae,,3,None
"Lepus capensis (Linnaeus, 1758)",,1,None
Eliomys quercinus liparensis,,3,None
Eliomys quercinus sardus,,3,None
"Antipathes dichotoma Pallas, 1766",,2,None
"Antipathes fragilis Gravier, 1918",,2,None
"Antipathes subpinnata (Ellis & Solander, 1786)",,2,None
"Astroides calycularis (Pallas, 1766)",,1,None
"Gerardia savaglia (Bertoloni, 1819)",,1,None
Errina aspera,,1,None
"Asterina pancerii  (Gasco, 1860)",,1,None
"Ophidiaster ophidianus  (Lamarck, 1816)",,1,None
"Margaritifera auricularia (Splenger, 1793)",,1,Gravemente minacciato
"Erosaria spurca (Linnaeus, 1758)",,1,None
"Luria lurida (Linnaeus, 1758)",,1,None
"Schilderia achatidea (Gray in G.B. Sowerby II, 1837)",,1,None
"Zonaria pyrum (Gmelin, 1791)",,1,None
"Charonia lampas (Linnaeus, 1758)",,1,None
"Ranella olearia (Linnaeus, 1758)",,1,"A minor rischio, Quasi a rischio"
"Dendropoma petraeum (Monterosato,1884)",,1,None
Petrobiona massiliana,,1,None
"Axinella polypoides Schmidt, 1862",,1,None
"Aplysina cavernicola Vacelet, 1959",,1,None
