Sport,Sesso,Età,Anno,Valori
"Calcio, calcetto",M,3-10,2006,446
"Calcio, calcetto",M,11-19,2006,1144
"Calcio, calcetto",M,20-34,2006,1473
"Calcio, calcetto",M,35-59,2006,964
"Calcio, calcetto",M,60+,2006,22
"Calcio, calcetto",M,Totale,2006,4049
"Calcio, calcetto",M,3-10,2015,518
"Calcio, calcetto",M,11-19,2015,1210
"Calcio, calcetto",M,20-34,2015,1433
"Calcio, calcetto",M,35-59,2015,1254
"Calcio, calcetto",M,60+,2015,128
"Calcio, calcetto",M,Totale,2015,4544
"Ginnastica, aerobica, fitness a cultura fisica",M,3-10,2006,71
"Ginnastica, aerobica, fitness a cultura fisica",M,11-19,2006,207
"Ginnastica, aerobica, fitness a cultura fisica",M,20-34,2006,658
"Ginnastica, aerobica, fitness a cultura fisica",M,35-59,2006,545
"Ginnastica, aerobica, fitness a cultura fisica",M,60+,2006,80
"Ginnastica, aerobica, fitness a cultura fisica",M,Totale,2006,1561
"Ginnastica, aerobica, fitness a cultura fisica",M,3-10,2015,27
"Ginnastica, aerobica, fitness a cultura fisica",M,11-19,2015,204
"Ginnastica, aerobica, fitness a cultura fisica",M,20-34,2015,708
"Ginnastica, aerobica, fitness a cultura fisica",M,35-59,2015,731
"Ginnastica, aerobica, fitness a cultura fisica",M,60+,2015,172
"Ginnastica, aerobica, fitness a cultura fisica",M,Totale,2015,1842
Sport acquatici e subacquei,M,3-10,2006,450
Sport acquatici e subacquei,M,11-19,2006,317
Sport acquatici e subacquei,M,20-34,2006,424
Sport acquatici e subacquei,M,35-59,2006,547
Sport acquatici e subacquei,M,60+,2006,93
Sport acquatici e subacquei,M,Totale,2006,1831
Sport acquatici e subacquei,M,3-10,2015,468
Sport acquatici e subacquei,M,11-19,2015,391
Sport acquatici e subacquei,M,20-34,2015,322
Sport acquatici e subacquei,M,35-59,2015,698
Sport acquatici e subacquei,M,60+,2015,194
Sport acquatici e subacquei,M,Totale,2015,2073
"Sport invernali, su ghiaccio e altri sport di montagna",M,3-10,2006,95
"Sport invernali, su ghiaccio e altri sport di montagna",M,11-19,2006,121
"Sport invernali, su ghiaccio e altri sport di montagna",M,20-34,2006,276
"Sport invernali, su ghiaccio e altri sport di montagna",M,35-59,2006,554
"Sport invernali, su ghiaccio e altri sport di montagna",M,60+,2006,111
"Sport invernali, su ghiaccio e altri sport di montagna",M,Totale,2006,1157
"Sport invernali, su ghiaccio e altri sport di montagna",M,3-10,2015,62
"Sport invernali, su ghiaccio e altri sport di montagna",M,11-19,2015,89
"Sport invernali, su ghiaccio e altri sport di montagna",M,20-34,2015,212
"Sport invernali, su ghiaccio e altri sport di montagna",M,35-59,2015,586
"Sport invernali, su ghiaccio e altri sport di montagna",M,60+,2015,226
"Sport invernali, su ghiaccio e altri sport di montagna",M,Totale,2015,1174
Sport ciclistici,M,3-10,2006,36
Sport ciclistici,M,11-19,2006,61
Sport ciclistici,M,20-34,2006,299
Sport ciclistici,M,35-59,2006,851
Sport ciclistici,M,60+,2006,198
Sport ciclistici,M,Totale,2006,1445
Sport ciclistici,M,3-10,2015,55
Sport ciclistici,M,11-19,2015,92
Sport ciclistici,M,20-34,2015,249
Sport ciclistici,M,35-59,2015,1035
Sport ciclistici,M,60+,2015,365
Sport ciclistici,M,Totale,2015,1796
"Atletica leggera, footing, jogging",M,3-10,2006,19
"Atletica leggera, footing, jogging",M,11-19,2006,96
"Atletica leggera, footing, jogging",M,20-34,2006,311
"Atletica leggera, footing, jogging",M,35-59,2006,660
"Atletica leggera, footing, jogging",M,60+,2006,110
"Atletica leggera, footing, jogging",M,Totale,2006,1196
"Atletica leggera, footing, jogging",M,3-10,2015,42
"Atletica leggera, footing, jogging",M,11-19,2015,113
"Atletica leggera, footing, jogging",M,20-34,2015,468
"Atletica leggera, footing, jogging",M,35-59,2015,1062
"Atletica leggera, footing, jogging",M,60+,2015,276
"Atletica leggera, footing, jogging",M,Totale,2015,1961
Sport con palla e racchetta,M,3-10,2006,42
Sport con palla e racchetta,M,11-19,2006,111
Sport con palla e racchetta,M,20-34,2006,204
Sport con palla e racchetta,M,35-59,2006,407
Sport con palla e racchetta,M,60+,2006,69
Sport con palla e racchetta,M,Totale,2006,833
Sport con palla e racchetta,M,3-10,2015,32
Sport con palla e racchetta,M,11-19,2015,138
Sport con palla e racchetta,M,20-34,2015,166
Sport con palla e racchetta,M,35-59,2015,429
Sport con palla e racchetta,M,60+,2015,90
Sport con palla e racchetta,M,Totale,2015,855
Danza e ballo,M,3-10,2006,14
Danza e ballo,M,11-19,2006,29
Danza e ballo,M,20-34,2006,25
Danza e ballo,M,35-59,2006,48
Danza e ballo,M,60+,2006,24
Danza e ballo,M,Totale,2006,140
Danza e ballo,M,3-10,2015,26
Danza e ballo,M,11-19,2015,34
Danza e ballo,M,20-34,2015,53
Danza e ballo,M,35-59,2015,62
Danza e ballo,M,60+,2015,58
Danza e ballo,M,Totale,2015,233
Pallavolo,M,3-10,2006,26
Pallavolo,M,11-19,2006,125
Pallavolo,M,20-34,2006,93
Pallavolo,M,35-59,2006,58
Pallavolo,M,60+,2006,1
Pallavolo,M,Totale,2006,303
Pallavolo,M,3-10,2015,28
Pallavolo,M,11-19,2015,111
Pallavolo,M,20-34,2015,104
Pallavolo,M,35-59,2015,87
Pallavolo,M,60+,2015,2
Pallavolo,M,Totale,2015,332
Arti marziali e sport di combattimento,M,3-10,2006,107
Arti marziali e sport di combattimento,M,11-19,2006,136
Arti marziali e sport di combattimento,M,20-34,2006,118
Arti marziali e sport di combattimento,M,35-59,2006,115
Arti marziali e sport di combattimento,M,60+,2006,5
Arti marziali e sport di combattimento,M,Totale,2006,482
Arti marziali e sport di combattimento,M,3-10,2015,167
Arti marziali e sport di combattimento,M,11-19,2015,199
Arti marziali e sport di combattimento,M,20-34,2015,172
Arti marziali e sport di combattimento,M,35-59,2015,157
Arti marziali e sport di combattimento,M,60+,2015,18
Arti marziali e sport di combattimento,M,Totale,2015,713
Pallacanestro,M,3-10,2006,112
Pallacanestro,M,11-19,2006,213
Pallacanestro,M,20-34,2006,124
Pallacanestro,M,35-59,2006,64
Pallacanestro,M,60+,2006,-
Pallacanestro,M,Totale,2006,512
Pallacanestro,M,3-10,2015,133
Pallacanestro,M,11-19,2015,223
Pallacanestro,M,20-34,2015,175
Pallacanestro,M,35-59,2015,106
Pallacanestro,M,60+,2015,16
Pallacanestro,M,Totale,2015,653
Caccia,M,3-10,2006,-
Caccia,M,11-19,2006,1
Caccia,M,20-34,2006,32
Caccia,M,35-59,2006,141
Caccia,M,60+,2006,85
Caccia,M,Totale,2006,260
Caccia,M,3-10,2015,-
Caccia,M,11-19,2015,1
Caccia,M,20-34,2015,16
Caccia,M,35-59,2015,115
Caccia,M,60+,2015,127
Caccia,M,Totale,2015,260
Pesca,M,3-10,2006,1
Pesca,M,11-19,2006,14
Pesca,M,20-34,2006,55
Pesca,M,35-59,2006,179
Pesca,M,60+,2006,74
Pesca,M,Totale,2006,324
Pesca,M,3-10,2015,-
Pesca,M,11-19,2015,13
Pesca,M,20-34,2015,30
Pesca,M,35-59,2015,163
Pesca,M,60+,2015,99
Pesca,M,Totale,2015,305
"Bocce, bowling, biliardo",M,3-10,2006,-
"Bocce, bowling, biliardo",M,11-19,2006,4
"Bocce, bowling, biliardo",M,20-34,2006,14
"Bocce, bowling, biliardo",M,35-59,2006,61
"Bocce, bowling, biliardo",M,60+,2006,78
"Bocce, bowling, biliardo",M,Totale,2006,157
"Bocce, bowling, biliardo",M,3-10,2015,9
"Bocce, bowling, biliardo",M,11-19,2015,24
"Bocce, bowling, biliardo",M,20-34,2015,24
"Bocce, bowling, biliardo",M,35-59,2015,66
"Bocce, bowling, biliardo",M,60+,2015,93
"Bocce, bowling, biliardo",M,Totale,2015,216
"Altri sport (sport nautici, altri sport con la palla, altro)",M,3-10,2006,24
"Altri sport (sport nautici, altri sport con la palla, altro)",M,11-19,2006,113
"Altri sport (sport nautici, altri sport con la palla, altro)",M,20-34,2006,179
"Altri sport (sport nautici, altri sport con la palla, altro)",M,35-59,2006,290
"Altri sport (sport nautici, altri sport con la palla, altro)",M,60+,2006,80
"Altri sport (sport nautici, altri sport con la palla, altro)",M,Totale,2006,686
"Altri sport (sport nautici, altri sport con la palla, altro)",M,3-10,2015,58
"Altri sport (sport nautici, altri sport con la palla, altro)",M,11-19,2015,159
"Altri sport (sport nautici, altri sport con la palla, altro)",M,20-34,2015,219
"Altri sport (sport nautici, altri sport con la palla, altro)",M,35-59,2015,335
"Altri sport (sport nautici, altri sport con la palla, altro)",M,60+,2015,129
"Altri sport (sport nautici, altri sport con la palla, altro)",M,Totale,2015,900
Escursioni/passeggiate di almeno 2km,M,3-10,2006,-
Escursioni/passeggiate di almeno 2km,M,11-19,2006,-
Escursioni/passeggiate di almeno 2km,M,20-34,2006,-
Escursioni/passeggiate di almeno 2km,M,35-59,2006,-
Escursioni/passeggiate di almeno 2km,M,60+,2006,-
Escursioni/passeggiate di almeno 2km,M,Totale,2006,-
Escursioni/passeggiate di almeno 2km,M,3-10,2015,15
Escursioni/passeggiate di almeno 2km,M,11-19,2015,16
Escursioni/passeggiate di almeno 2km,M,20-34,2015,22
Escursioni/passeggiate di almeno 2km,M,35-59,2015,208
Escursioni/passeggiate di almeno 2km,M,60+,2015,193
Escursioni/passeggiate di almeno 2km,M,Totale,2015,453
"Calcio, calcetto",F,3-10,2006,16
"Calcio, calcetto",F,11-19,2006,48
"Calcio, calcetto",F,20-34,2006,34
"Calcio, calcetto",F,35-59,2006,6
"Calcio, calcetto",F,60+,2006,-
"Calcio, calcetto",F,Totale,2006,103
"Calcio, calcetto",F,3-10,2015,9
"Calcio, calcetto",F,11-19,2015,43
"Calcio, calcetto",F,20-34,2015,30
"Calcio, calcetto",F,35-59,2015,13
"Calcio, calcetto",F,60+,2015,5
"Calcio, calcetto",F,Totale,2015,98
"Ginnastica, aerobica, fitness a cultura fisica",F,3-10,2006,150
"Ginnastica, aerobica, fitness a cultura fisica",F,11-19,2006,336
"Ginnastica, aerobica, fitness a cultura fisica",F,20-34,2006,883
"Ginnastica, aerobica, fitness a cultura fisica",F,35-59,2006,1101
"Ginnastica, aerobica, fitness a cultura fisica",F,60+,2006,288
"Ginnastica, aerobica, fitness a cultura fisica",F,Totale,2006,2759
"Ginnastica, aerobica, fitness a cultura fisica",F,3-10,2015,220
"Ginnastica, aerobica, fitness a cultura fisica",F,11-19,2015,381
"Ginnastica, aerobica, fitness a cultura fisica",F,20-34,2015,858
"Ginnastica, aerobica, fitness a cultura fisica",F,35-59,2015,1298
"Ginnastica, aerobica, fitness a cultura fisica",F,60+,2015,498
"Ginnastica, aerobica, fitness a cultura fisica",F,Totale,2015,3254
Sport acquatici e subacquei,F,3-10,2006,408
Sport acquatici e subacquei,F,11-19,2006,322
Sport acquatici e subacquei,F,20-34,2006,582
Sport acquatici e subacquei,F,35-59,2006,677
Sport acquatici e subacquei,F,60+,2006,94
Sport acquatici e subacquei,F,Totale,2006,2083
Sport acquatici e subacquei,F,3-10,2015,530
Sport acquatici e subacquei,F,11-19,2015,352
Sport acquatici e subacquei,F,20-34,2015,394
Sport acquatici e subacquei,F,35-59,2015,688
Sport acquatici e subacquei,F,60+,2015,228
Sport acquatici e subacquei,F,Totale,2015,2192
"Sport invernali, su ghiaccio e altri sport di montagna",F,3-10,2006,94
"Sport invernali, su ghiaccio e altri sport di montagna",F,11-19,2006,112
"Sport invernali, su ghiaccio e altri sport di montagna",F,20-34,2006,194
"Sport invernali, su ghiaccio e altri sport di montagna",F,35-59,2006,332
"Sport invernali, su ghiaccio e altri sport di montagna",F,60+,2006,47
"Sport invernali, su ghiaccio e altri sport di montagna",F,Totale,2006,780
"Sport invernali, su ghiaccio e altri sport di montagna",F,3-10,2015,81
"Sport invernali, su ghiaccio e altri sport di montagna",F,11-19,2015,82
"Sport invernali, su ghiaccio e altri sport di montagna",F,20-34,2015,123
"Sport invernali, su ghiaccio e altri sport di montagna",F,35-59,2015,345
"Sport invernali, su ghiaccio e altri sport di montagna",F,60+,2015,69
"Sport invernali, su ghiaccio e altri sport di montagna",F,Totale,2015,700
Sport ciclistici,F,3-10,2006,15
Sport ciclistici,F,11-19,2006,39
Sport ciclistici,F,20-34,2006,191
Sport ciclistici,F,35-59,2006,273
Sport ciclistici,F,60+,2006,48
Sport ciclistici,F,Totale,2006,566
Sport ciclistici,F,3-10,2015,29
Sport ciclistici,F,11-19,2015,37
Sport ciclistici,F,20-34,2015,110
Sport ciclistici,F,35-59,2015,352
Sport ciclistici,F,60+,2015,90
Sport ciclistici,F,Totale,2015,618
"Atletica leggera, footing, jogging",F,3-10,2006,25
"Atletica leggera, footing, jogging",F,11-19,2006,95
"Atletica leggera, footing, jogging",F,20-34,2006,312
"Atletica leggera, footing, jogging",F,35-59,2006,293
"Atletica leggera, footing, jogging",F,60+,2006,26
"Atletica leggera, footing, jogging",F,Totale,2006,751
"Atletica leggera, footing, jogging",F,3-10,2015,43
"Atletica leggera, footing, jogging",F,11-19,2015,163
"Atletica leggera, footing, jogging",F,20-34,2015,367
"Atletica leggera, footing, jogging",F,35-59,2015,738
"Atletica leggera, footing, jogging",F,60+,2015,126
"Atletica leggera, footing, jogging",F,Totale,2015,1437
Sport con palla e racchetta,F,3-10,2006,28
Sport con palla e racchetta,F,11-19,2006,48
Sport con palla e racchetta,F,20-34,2006,89
Sport con palla e racchetta,F,35-59,2006,102
Sport con palla e racchetta,F,60+,2006,9
Sport con palla e racchetta,F,Totale,2006,276
Sport con palla e racchetta,F,3-10,2015,29
Sport con palla e racchetta,F,11-19,2015,81
Sport con palla e racchetta,F,20-34,2015,55
Sport con palla e racchetta,F,35-59,2015,114
Sport con palla e racchetta,F,60+,2015,22
Sport con palla e racchetta,F,Totale,2015,302
Danza e ballo,F,3-10,2006,289
Danza e ballo,F,11-19,2006,330
Danza e ballo,F,20-34,2006,154
Danza e ballo,F,35-59,2006,140
Danza e ballo,F,60+,2006,29
Danza e ballo,F,Totale,2006,943
Danza e ballo,F,3-10,2015,332
Danza e ballo,F,11-19,2015,425
Danza e ballo,F,20-34,2015,245
Danza e ballo,F,35-59,2015,312
Danza e ballo,F,60+,2015,95
Danza e ballo,F,Totale,2015,1409
Pallavolo,F,3-10,2006,87
Pallavolo,F,11-19,2006,316
Pallavolo,F,20-34,2006,134
Pallavolo,F,35-59,2006,23
Pallavolo,F,60+,2006,-
Pallavolo,F,Totale,2006,560
Pallavolo,F,3-10,2015,115
Pallavolo,F,11-19,2015,338
Pallavolo,F,20-34,2015,183
Pallavolo,F,35-59,2015,111
Pallavolo,F,60+,2015,6
Pallavolo,F,Totale,2015,754
Arti marziali e sport di combattimento,F,3-10,2006,38
Arti marziali e sport di combattimento,F,11-19,2006,55
Arti marziali e sport di combattimento,F,20-34,2006,27
Arti marziali e sport di combattimento,F,35-59,2006,20
Arti marziali e sport di combattimento,F,60+,2006,3
Arti marziali e sport di combattimento,F,Totale,2006,143
Arti marziali e sport di combattimento,F,3-10,2015,43
Arti marziali e sport di combattimento,F,11-19,2015,75
Arti marziali e sport di combattimento,F,20-34,2015,36
Arti marziali e sport di combattimento,F,35-59,2015,26
Arti marziali e sport di combattimento,F,60+,2015,
Arti marziali e sport di combattimento,F,Totale,2015,180
Pallacanestro,F,3-10,2006,33
Pallacanestro,F,11-19,2006,31
Pallacanestro,F,20-34,2006,19
Pallacanestro,F,35-59,2006,15
Pallacanestro,F,60+,2006,2
Pallacanestro,F,Totale,2006,99
Pallacanestro,F,3-10,2015,43
Pallacanestro,F,11-19,2015,50
Pallacanestro,F,20-34,2015,39
Pallacanestro,F,35-59,2015,16
Pallacanestro,F,60+,2015,3
Pallacanestro,F,Totale,2015,151
Caccia,F,3-10,2006,-
Caccia,F,11-19,2006,-
Caccia,F,20-34,2006,-
Caccia,F,35-59,2006,1
Caccia,F,60+,2006,
Caccia,F,Totale,2006,2
Caccia,F,3-10,2015,-
Caccia,F,11-19,2015,-
Caccia,F,20-34,2015,-
Caccia,F,35-59,2015,-
Caccia,F,60+,2015,2
Caccia,F,Totale,2015,2
Pesca,F,3-10,2006,-
Pesca,F,11-19,2006,-
Pesca,F,20-34,2006,-
Pesca,F,35-59,2006,4
Pesca,F,60+,2006,-
Pesca,F,Totale,2006,4
Pesca,F,3-10,2015,-
Pesca,F,11-19,2015,1
Pesca,F,20-34,2015,1
Pesca,F,35-59,2015,
Pesca,F,60+,2015,7
Pesca,F,Totale,2015,9
"Bocce, bowling, biliardo",F,3-10,2006,
"Bocce, bowling, biliardo",F,11-19,2006,7
"Bocce, bowling, biliardo",F,20-34,2006,-
"Bocce, bowling, biliardo",F,35-59,2006,9
"Bocce, bowling, biliardo",F,60+,2006,3
"Bocce, bowling, biliardo",F,Totale,2006,19
"Bocce, bowling, biliardo",F,3-10,2015,
"Bocce, bowling, biliardo",F,11-19,2015,
"Bocce, bowling, biliardo",F,20-34,2015,3
"Bocce, bowling, biliardo",F,35-59,2015,3
"Bocce, bowling, biliardo",F,60+,2015,11
"Bocce, bowling, biliardo",F,Totale,2015,17
"Altri sport (sport nautici, altri sport con la palla, altro)",F,3-10,2006,58
"Altri sport (sport nautici, altri sport con la palla, altro)",F,11-19,2006,68
"Altri sport (sport nautici, altri sport con la palla, altro)",F,20-34,2006,78
"Altri sport (sport nautici, altri sport con la palla, altro)",F,35-59,2006,107
"Altri sport (sport nautici, altri sport con la palla, altro)",F,60+,2006,24
"Altri sport (sport nautici, altri sport con la palla, altro)",F,Totale,2006,335
"Altri sport (sport nautici, altri sport con la palla, altro)",F,3-10,2015,128
"Altri sport (sport nautici, altri sport con la palla, altro)",F,11-19,2015,132
"Altri sport (sport nautici, altri sport con la palla, altro)",F,20-34,2015,97
"Altri sport (sport nautici, altri sport con la palla, altro)",F,35-59,2015,123
"Altri sport (sport nautici, altri sport con la palla, altro)",F,60+,2015,85
"Altri sport (sport nautici, altri sport con la palla, altro)",F,Totale,2015,567
Escursioni/passeggiate di almeno 2km,F,3-10,2006,-
Escursioni/passeggiate di almeno 2km,F,11-19,2006,-
Escursioni/passeggiate di almeno 2km,F,20-34,2006,-
Escursioni/passeggiate di almeno 2km,F,35-59,2006,-
Escursioni/passeggiate di almeno 2km,F,60+,2006,-
Escursioni/passeggiate di almeno 2km,F,Totale,2006,-
Escursioni/passeggiate di almeno 2km,F,3-10,2015,8
Escursioni/passeggiate di almeno 2km,F,11-19,2015,24
Escursioni/passeggiate di almeno 2km,F,20-34,2015,119
Escursioni/passeggiate di almeno 2km,F,35-59,2015,366
Escursioni/passeggiate di almeno 2km,F,60+,2015,203
Escursioni/passeggiate di almeno 2km,F,Totale,2015,720
